WP,Name,Goal,Lead
WP1,Setup and recruitment,"Complete the cohort to fifteen committed participants and have a working programme environment in place before the first workshop in month 3. Deliverable: a confirmed cohort and a working programme environment.","ETH Zurich, Global Health Engineering"
WP2,Core workshops and data-package delivery,"Deliver the five workshops and the support hours between them, and host the organisational change workshop, so that each participant takes one of their own datasets to a published FAIR data package with a DOI. Deliverables: five workshops delivered, the hosted organisational change workshop, at least fifteen data packages in progress, support logged through issues.","ETH Zurich, Global Health Engineering"
WP3,Community building and outreach,"Build an active cross-department community of practice around FAIR data and agentic AI workflows that reaches beyond the cohort, through the AI Playground, the Matrix channel, and quarterly team meetings. Deliverable: an active cross-department community and a record of events.","ETH Zurich, Global Health Engineering"
WP4,"Consolidation, sustainability, and reporting","Publish the final data packages, capture the programme as a reusable offering, and feed the lessons back into the Data Stewardship Network. Deliverables: at least fifteen published FAIR data packages, a documented reusable programme, a DSN contribution, a draft data management strategy for each participant's group, final content and financial reports.","ETH Zurich, Global Health Engineering"
